dataset,protocol_train,protocol_eval,model,ablation,seed,config_hash,git_commit,best_epoch,checkpoint,predictions,intervention_failures,cn_feature_mode,interaction_mode,metric_mrr,metric_hits10,metric_hits20,metric_hits50,metric_hits100,metric_mean_positive_rank,metric_auc,metric_ap,metric_macro_mrr,metric_worst_group_mrr,metric_group_gap,runtime_train_seconds,runtime_inference_seconds,runtime_peak_gpu_mb
citeseer,degree_corrected,heart,dcdlp,A14,0,3f6271817264,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\citeseer_degree_corrected_seed0_3f6271817264.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\citeseer_degree_corrected_seed0_3f6271817264_predictions.csv,"{'DUPLICATE_EDGE': 3476, 'NO_CANDIDATE': 442}",legacy_unknown,legacy_unknown,0.6062951637059418,0.9164835164835164,1.0,1.0,1.0,3.78021978021978,0.8623383649317716,0.49805851948024343,0.6205420065800582,0.21213619623970953,0.7248508701918013,1447.5374831999652,0.0,89.517578125
citeseer,mix,heart,dcdlp,A14,0,fc47b524c078,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\citeseer_mix_seed0_fc47b524c078.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\citeseer_mix_seed0_fc47b524c078_predictions.csv,"{'DUPLICATE_EDGE': 3433, 'NO_CANDIDATE': 485}",legacy_unknown,legacy_unknown,0.7316671820243249,0.9868131868131869,1.0,1.0,1.0,2.169230769230769,0.9399973433160246,0.6039475612547716,0.747826846289743,0.5374258109040718,0.4354136952687675,1420.135140199971,0.0,89.517578125
citeseer,uniform,heart,dcdlp,A14,0,9d6df67f353c,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\citeseer_uniform_seed0_9d6df67f353c.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\citeseer_uniform_seed0_9d6df67f353c_predictions.csv,"{'DUPLICATE_EDGE': 3360, 'NO_CANDIDATE': 558}",legacy_unknown,legacy_unknown,0.6914051015780168,0.9736263736263736,0.9978021978021978,1.0,1.0,2.5714285714285716,0.9172532302861973,0.5652316139344417,0.7085768045233884,0.39631609828527636,0.5703505683813903,1334.002242800023,0.0,89.517578125
citeseer,uniform,heart,dcdlp,A14,1,c4a1d18bff3a,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\citeseer_uniform_seed1_c4a1d18bff3a.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\citeseer_uniform_seed1_c4a1d18bff3a_predictions.csv,"{'DUPLICATE_EDGE': 3348, 'NO_CANDIDATE': 570}",legacy_unknown,legacy_unknown,0.7546570847698667,0.9868131868131869,1.0,1.0,1.0,2.1714285714285713,0.9433809926337399,0.6190947011043483,0.8013191391634836,0.5484030393990614,0.41838988989386794,2369.539831000031,0.0,89.517578125
cora,degree_corrected,heart,dcdlp,A14,0,1000c8900ae1,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed0_1000c8900ae1.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed0_1000c8900ae1_predictions.csv,{'NO_CANDIDATE': 289},legacy_unknown,legacy_unknown,0.5933562826100323,0.8121442125237192,0.9943074003795066,1.0,1.0,4.808349146110057,0.8111909451299649,0.4489919080796565,0.5803007322992128,0.15704735493030597,0.7857394084086047,670.2281895000197,0.0,2798.25634765625
cora,degree_corrected,heart,dcdlp,A1,1,336b1bdfff8f,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed1_336b1bdfff8f.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed1_336b1bdfff8f_predictions.csv,{},legacy_unknown,legacy_unknown,0.16382342244137582,0.3738140417457306,0.920303605313093,1.0,1.0,12.107210626185958,0.447837550273828,0.06181771767577017,0.1781070222472621,0.0713206797114873,0.25025057191731354,19.875671999994665,0.0,56.08642578125
cora,degree_corrected,heart,dcdlp,A14,1,a8063e662051,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed1_a8063e662051.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed1_a8063e662051_predictions.csv,{'NO_CANDIDATE': 318},legacy_unknown,legacy_unknown,0.5420203016618118,0.7077798861480076,0.9734345351043643,1.0,1.0,6.324478178368121,0.7342863906902053,0.3972788008499453,0.5339709824819308,0.09761889815596714,0.801183654305122,593.4352291999967,0.0,2812.27783203125
cora,degree_corrected,heart,dcdlp,A14,2,6147faf6361b,untracked,3,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed2_6147faf6361b.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed2_6147faf6361b_predictions.csv,{'NO_CANDIDATE': 298},legacy_unknown,legacy_unknown,0.6620038391678641,0.9601518026565465,0.9962049335863378,1.0,1.0,2.876660341555977,0.9079746803538702,0.5232617835102152,0.6550068684371313,0.32168644264232504,0.5968561259002434,560.107959099987,0.0,2790.44580078125
cora,degree_corrected,heart,dcdlp,A14,3,53378c43e202,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed3_53378c43e202.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed3_53378c43e202_predictions.csv,{'NO_CANDIDATE': 284},legacy_unknown,legacy_unknown,0.6194527777343646,0.8842504743833017,0.9924098671726755,1.0,1.0,4.0588235294117645,0.8461421025532083,0.47812024042359047,0.6097831578030996,0.23057293481956118,0.715209585505642,621.4672782000271,0.0,2784.7578125
cora,degree_corrected,heart,dcdlp,A14,4,398a872c84d4,untracked,1,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\checkpoints\cora_degree_corrected_seed4_398a872c84d4.pt,D:\桌面\研究生相关事项\CodeWork\DCDLP_work\DCDLP\results\raw\cora_degree_corrected_seed4_398a872c84d4_predictions.csv,{'NO_CANDIDATE': 289},legacy_unknown,legacy_unknown,0.6300664771501214,0.952561669829222,0.9962049335863378,1.0,1.0,3.3567362428842507,0.8811172041810542,0.4518662927034285,0.616391692074571,0.3030665800930366,0.6136585148529172,679.5794209000305,0.0,2768.05859375
